Timestamp,Kandydaci na Prezydenta Rzeczypospolitej Polskiej [BIEDROŃ Robert],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [BOSAK Krzysztof],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [DUDA Andrzej Sebastian],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [HOŁOWNIA Szymon Franciszek],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [JAKUBIAK Marek],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [KOSINIAK-KAMYSZ Władysław Marcin],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [PIOTROWSKI Mirosław Mariusz],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [TANAJNO Paweł Jan],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [TRZASKOWSKI Rafał Kazimierz],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [WITKOWSKI Waldemar Włodzimierz],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [ŻÓŁTEK Stanisław Józef],Kontrolka - zwykłe wybory
26/06/2020 19:18:07,1,11,10,2,9,5,8,6,4,3,7,
26/06/2020 19:23:31,5,,,4,,3,,,2,1,,
26/06/2020 19:28:40,,,,2,,1,,,3,,,
26/06/2020 19:31:19,3,11,10,1,9,4,8,6,5,2,7,
26/06/2020 19:31:20,,1,,,,2,,,,,3,
26/06/2020 19:32:12,5,9,10,2,,7,8,4,3,1,6,
26/06/2020 19:36:28,1,11,10,7,9,2,8,5,3,4,6,
26/06/2020 19:37:46,1,10,11,4,8,5,9,6,3,2,7,
26/06/2020 19:42:38,3,10,11,2,9,4,7,8,1,6,5,TRZASKOWSKI Rafał Kazimierz
26/06/2020 19:45:43,2,10,11,4,9,5,8,6,3,1,7,BIEDROŃ Robert
26/06/2020 19:52:15,1,,,5,,3,,,2,4,,BIEDROŃ Robert
26/06/2020 19:57:57,1,,,3,,4,,5,2,6,7,BIEDROŃ Robert
26/06/2020 19:58:04,1,,,3,,5,,,4,2,,BIEDROŃ Robert
26/06/2020 19:59:48,,,,2,,,,,,1,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:06:21,3,,,2,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:08:05,8,1,,3,2,6,9,4,5,,7,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:10:37,1,,,3,,5,,6,2,4,,BIEDROŃ Robert
26/06/2020 20:13:08,1,,,,,,,,3,2,,BIEDROŃ Robert
26/06/2020 20:14:49,,1,,,3,,,,,,2,BOSAK Krzysztof
26/06/2020 20:19:52,1,,,4,,,,,2,3,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:20:21,3,10,11,2,8,5,9,4,1,6,7,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:22:29,1,,,4,,3,,,2,5,,BIEDROŃ Robert
26/06/2020 20:24:09,1,,,3,,,,,2,,,BIEDROŃ Robert
26/06/2020 20:30:29,2,9,11,4,8,6,10,5,1,3,7,BIEDROŃ Robert
26/06/2020 20:33:18,2,10,6,4,11,5,7,9,3,1,8,WITKOWSKI Waldemar Włodzimierz
26/06/2020 20:35:36,5,9,11,3,10,4,8,7,1,2,6,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:35:59,3,11,10,2,9,4,6,8,1,5,7,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:37:45,11,1,9,8,3,7,4,5,10,6,2,BOSAK Krzysztof
26/06/2020 20:43:30,2,5,11,1,10,3,9,7,6,4,8,HOŁOWNIA Szymon Franciszek
26/06/2020 20:49:56,1,9,11,3,8,5,10,6,2,4,7,BIEDROŃ Robert
